call_type,arrived,aborted,answered,complete
Type 1,2020-02-15 19:47:19,2020-02-15 19:47:58,,
Type 2,2020-02-15 19:45:54,,2020-02-15 19:46:17,2020-02-15 19:47:58
Type 1,2020-02-15 19:47:26,2020-02-15 19:48:07,,
Type 1,2020-02-15 19:45:58,,2020-02-15 19:46:36,2020-02-15 19:48:10
Type 2,2020-02-15 19:45:12,,2020-02-15 19:45:12,2020-02-15 19:48:10
Type 1,2020-02-15 19:45:50,,2020-02-15 19:46:05,2020-02-15 19:48:14
Type 2,2020-02-15 19:43:17,,2020-02-15 19:43:58,2020-02-15 19:48:16
Type 1,2020-02-15 19:48:05,2020-02-15 19:48:19,,
Type 1,2020-02-15 19:46:44,,2020-02-15 19:47:08,2020-02-15 19:48:25
Type 1,2020-02-15 19:46:04,,2020-02-15 19:46:52,2020-02-15 19:48:31
Type 1,2020-02-15 19:46:39,,2020-02-15 19:46:59,2020-02-15 19:48:39
Type 1,2020-02-15 19:46:55,,2020-02-15 19:47:48,2020-02-15 19:48:56
Type 1,2020-02-15 19:48:47,2020-02-15 19:48:59,,
Type 1,2020-02-15 19:48:47,2020-02-15 19:48:59,,
Type 1,2020-02-15 19:46:13,,2020-02-15 19:46:58,2020-02-15 19:49:05
Type 2,2020-02-15 19:46:48,,2020-02-15 19:47:29,2020-02-15 19:49:07
Type 1,2020-02-15 19:45:54,,2020-02-15 19:46:18,2020-02-15 19:49:12
Type 2,2020-02-15 19:45:40,,2020-02-15 19:45:49,2020-02-15 19:49:22
Type 1,2020-02-15 19:49:34,2020-02-15 19:49:41,,
Type 2,2020-02-15 19:49:29,2020-02-15 19:49:42,,
Type 1,2020-02-15 19:49:22,2020-02-15 19:49:44,,
Type 1,2020-02-15 19:47:11,,2020-02-15 19:47:58,2020-02-15 19:49:45
Type 2,2020-02-15 19:46:56,,2020-02-15 19:47:57,2020-02-15 19:49:46
Type 1,2020-02-15 19:45:50,,2020-02-15 19:46:12,2020-02-15 19:49:57
Type 2,2020-02-15 19:47:26,,2020-02-15 19:48:10,2020-02-15 19:49:59
Type 1,2020-02-15 19:50:12,2020-02-15 19:50:17,,
Type 1,2020-02-15 19:50:08,2020-02-15 19:50:18,,
Type 2,2020-02-15 19:46:11,,2020-02-15 19:46:56,2020-02-15 19:50:19
Type 1,2020-02-15 19:48:35,,2020-02-15 19:49:05,2020-02-15 19:50:44
Type 2,2020-02-15 19:45:57,,2020-02-15 19:46:24,2020-02-15 19:50:47
Type 2,2020-02-15 19:46:51,,2020-02-15 19:47:42,2020-02-15 19:50:49
Type 2,2020-02-15 19:48:47,,2020-02-15 19:49:07,2020-02-15 19:50:52
Type 2,2020-02-15 19:47:51,,2020-02-15 19:48:14,2020-02-15 19:50:56
Type 2,2020-02-15 19:46:44,,2020-02-15 19:47:10,2020-02-15 19:50:58
Type 2,2020-02-15 19:46:47,,2020-02-15 19:47:19,2020-02-15 19:51:00
Type 2,2020-02-15 19:47:41,,2020-02-15 19:48:10,2020-02-15 19:51:14
Type 2,2020-02-15 19:49:01,,2020-02-15 19:49:12,2020-02-15 19:51:15
Type 2,2020-02-15 19:48:21,,2020-02-15 19:48:31,2020-02-15 19:51:16
Type 1,2020-02-15 19:49:15,,2020-02-15 19:49:22,2020-02-15 19:51:18
Type 2,2020-02-15 19:49:38,,2020-02-15 19:49:46,2020-02-15 19:51:18
Type 1,2020-02-15 19:49:50,,2020-02-15 19:49:59,2020-02-15 19:51:29
Type 2,2020-02-15 19:47:58,,2020-02-15 19:48:25,2020-02-15 19:51:40
Type 2,2020-02-15 19:49:39,,2020-02-15 19:49:57,2020-02-15 19:51:47
Type 1,2020-02-15 19:51:46,2020-02-15 19:51:52,,
Type 2,2020-02-15 19:48:23,,2020-02-15 19:48:39,2020-02-15 19:51:54
Type 1,2020-02-15 19:49:51,,2020-02-15 19:50:19,2020-02-15 19:51:56
Type 2,2020-02-15 19:49:28,,2020-02-15 19:49:45,2020-02-15 19:52:03
Type 1,2020-02-15 19:50:16,,2020-02-15 19:50:47,2020-02-15 19:52:03
Type 2,2020-02-15 19:47:57,,2020-02-15 19:48:16,2020-02-15 19:52:05
Type 2,2020-02-15 19:50:34,,2020-02-15 19:50:52,2020-02-15 19:52:08
Type 1,2020-02-15 19:50:41,,2020-02-15 19:50:56,2020-02-15 19:52:10
Type 1,2020-02-15 19:50:53,,2020-02-15 19:51:00,2020-02-15 19:52:15
Type 1,2020-02-15 19:51:22,,2020-02-15 19:51:22,2020-02-15 19:52:25
Type 1,2020-02-15 19:49:52,,2020-02-15 19:50:44,2020-02-15 19:52:29
Type 2,2020-02-15 19:51:20,,2020-02-15 19:51:20,2020-02-15 19:52:31
Type 1,2020-02-15 19:52:33,2020-02-15 19:52:52,,
Type 2,2020-02-15 19:48:35,,2020-02-15 19:48:56,2020-02-15 19:52:59
Type 2,2020-02-15 19:52:59,2020-02-15 19:53:12,,
Type 1,2020-02-15 19:51:51,,2020-02-15 19:51:56,2020-02-15 19:53:16
Type 2,2020-02-15 19:51:13,,2020-02-15 19:51:15,2020-02-15 19:53:20
Type 1,2020-02-15 19:50:51,,2020-02-15 19:50:58,2020-02-15 19:53:26
Type 1,2020-02-15 19:51:46,,2020-02-15 19:51:54,2020-02-15 19:53:35
Type 2,2020-02-15 19:53:11,2020-02-15 19:53:40,,
Type 1,2020-02-15 19:51:58,,2020-02-15 19:52:03,2020-02-15 19:53:41
Type 1,2020-02-15 19:52:04,,2020-02-15 19:52:15,2020-02-15 19:53:42
Type 1,2020-02-15 19:51:38,,2020-02-15 19:51:38,2020-02-15 19:53:46
Type 2,2020-02-15 19:52:00,,2020-02-15 19:52:08,2020-02-15 19:53:55
Type 2,2020-02-15 19:52:29,,2020-02-15 19:52:31,2020-02-15 19:54:07
Type 2,2020-02-15 19:51:54,,2020-02-15 19:52:03,2020-02-15 19:54:08
Type 2,2020-02-15 19:51:07,,2020-02-15 19:51:14,2020-02-15 19:54:20
Type 2,2020-02-15 19:52:37,,2020-02-15 19:53:20,2020-02-15 19:54:24
Type 1,2020-02-15 19:52:33,,2020-02-15 19:52:59,2020-02-15 19:54:28
Type 2,2020-02-15 19:51:15,,2020-02-15 19:51:16,2020-02-15 19:54:31
Type 1,2020-02-15 19:54:45,2020-02-15 19:54:54,,
Type 2,2020-02-15 19:52:20,,2020-02-15 19:52:29,2020-02-15 19:55:02
Type 1,2020-02-15 19:52:58,,2020-02-15 19:53:26,2020-02-15 19:55:04
Type 1,2020-02-15 19:54:55,2020-02-15 19:55:05,,
Type 1,2020-02-15 19:53:13,,2020-02-15 19:53:42,2020-02-15 19:55:06
Type 1,2020-02-15 19:52:37,,2020-02-15 19:53:16,2020-02-15 19:55:07
Type 2,2020-02-15 19:50:31,,2020-02-15 19:50:49,2020-02-15 19:55:10
Type 1,2020-02-15 19:51:41,,2020-02-15 19:51:47,2020-02-15 19:55:15
Type 2,2020-02-15 19:51:59,,2020-02-15 19:52:05,2020-02-15 19:55:20
Type 2,2020-02-15 19:51:39,,2020-02-15 19:51:40,2020-02-15 19:55:26
Type 2,2020-02-15 19:52:01,,2020-02-15 19:52:10,2020-02-15 19:55:35
Type 2,2020-02-15 19:55:37,2020-02-15 19:55:43,,
Type 1,2020-02-15 19:55:35,2020-02-15 19:55:51,,
Type 2,2020-02-15 19:54:12,,2020-02-15 19:54:24,2020-02-15 19:55:53
Type 2,2020-02-15 19:55:29,2020-02-15 19:56:07,,
Type 1,2020-02-15 19:55:13,,2020-02-15 19:55:20,2020-02-15 19:56:24
Type 1,2020-02-15 19:54:47,,2020-02-15 19:55:04,2020-02-15 19:56:34
Type 1,2020-02-15 19:54:33,,2020-02-15 19:54:33,2020-02-15 19:56:35
Type 2,2020-02-15 19:56:31,2020-02-15 19:56:36,,
Type 1,2020-02-15 19:55:03,,2020-02-15 19:55:07,2020-02-15 19:56:40
Type 1,2020-02-15 19:56:15,2020-02-15 19:56:41,,
Type 1,2020-02-15 19:55:02,,2020-02-15 19:55:06,2020-02-15 19:56:42
Type 2,2020-02-15 19:53:09,,2020-02-15 19:53:35,2020-02-15 19:56:45
Type 2,2020-02-15 19:52:05,,2020-02-15 19:52:25,2020-02-15 19:56:49
Type 2,2020-02-15 19:56:39,2020-02-15 19:56:50,,
Type 2,2020-02-15 19:56:58,2020-02-15 19:57:02,,
Type 1,2020-02-15 19:55:16,,2020-02-15 19:55:26,2020-02-15 19:57:04
Type 2,2020-02-15 19:53:19,,2020-02-15 19:53:46,2020-02-15 19:57:10
Type 1,2020-02-15 19:53:50,,2020-02-15 19:54:07,2020-02-15 19:57:16
Type 1,2020-02-15 19:54:03,,2020-02-15 19:54:08,2020-02-15 19:57:26
Type 1,2020-02-15 19:56:42,2020-02-15 19:57:26,,
Type 1,2020-02-15 19:53:22,,2020-02-15 19:53:55,2020-02-15 19:57:27
Type 2,2020-02-15 19:57:18,2020-02-15 19:57:43,,
Type 2,2020-02-15 19:53:10,,2020-02-15 19:53:41,2020-02-15 19:57:58
Type 1,2020-02-15 19:57:49,2020-02-15 19:58:11,,
Type 1,2020-02-15 19:56:03,,2020-02-15 19:56:35,2020-02-15 19:58:11
Type 2,2020-02-15 19:54:32,,2020-02-15 19:54:32,2020-02-15 19:58:12
Type 2,2020-02-15 19:54:06,,2020-02-15 19:54:20,2020-02-15 19:58:17
Type 2,2020-02-15 19:58:30,2020-02-15 19:58:41,,
Type 2,2020-02-15 19:57:59,2020-02-15 19:58:45,,
Type 1,2020-02-15 19:58:44,2020-02-15 19:58:48,,
Type 1,2020-02-15 19:57:11,2020-02-15 19:58:50,,
Type 2,2020-02-15 19:58:26,2020-02-15 19:58:57,,
Type 2,2020-02-15 19:55:17,,2020-02-15 19:55:35,2020-02-15 19:59:04
Type 2,2020-02-15 19:54:34,,2020-02-15 19:55:02,2020-02-15 19:59:06
Type 1,2020-02-15 19:57:37,2020-02-15 19:59:09,,
Type 1,2020-02-15 19:55:20,,2020-02-15 19:55:53,2020-02-15 19:59:15
Type 1,2020-02-15 19:59:15,2020-02-15 19:59:16,,
Type 1,2020-02-15 19:58:53,2020-02-15 19:59:19,,
Type 1,2020-02-15 19:58:57,2020-02-15 19:59:22,,
Type 2,2020-02-15 19:55:57,,2020-02-15 19:56:24,2020-02-15 19:59:34
Type 2,2020-02-15 19:55:04,,2020-02-15 19:55:10,2020-02-15 19:59:45
Type 2,2020-02-15 19:56:21,,2020-02-15 19:57:04,2020-02-15 19:59:48
Type 2,2020-02-15 19:58:43,2020-02-15 19:59:51,,
Type 1,2020-02-15 19:57:08,,2020-02-15 19:58:17,2020-02-15 19:59:55
Type 2,2020-02-15 19:55:58,,2020-02-15 19:56:34,2020-02-15 19:59:56
Type 1,2020-02-15 19:56:39,,2020-02-15 19:57:16,2020-02-15 20:00:03
Type 1,2020-02-15 19:55:12,,2020-02-15 19:55:15,2020-02-15 20:00:03
Type 2,2020-02-15 19:56:17,,2020-02-15 19:56:45,2020-02-15 20:00:30
Type 1,2020-02-15 19:57:03,,2020-02-15 19:58:11,2020-02-15 20:00:39
Type 1,2020-02-15 19:57:14,,2020-02-15 19:59:04,2020-02-15 20:00:40
Type 2,2020-02-15 19:56:17,,2020-02-15 19:56:49,2020-02-15 20:00:41
Type 2,2020-02-15 20:00:28,2020-02-15 20:00:46,,
Type 2,2020-02-15 19:57:55,,2020-02-15 19:59:15,2020-02-15 20:01:03
Type 2,2020-02-15 20:00:36,2020-02-15 20:01:06,,
Type 2,2020-02-15 19:56:09,,2020-02-15 19:56:42,2020-02-15 20:01:10
Type 1,2020-02-15 19:56:51,,2020-02-15 19:57:27,2020-02-15 20:01:11
Type 1,2020-02-15 19:56:41,,2020-02-15 19:57:26,2020-02-15 20:01:13
Type 2,2020-02-15 19:56:32,,2020-02-15 19:57:10,2020-02-15 20:01:18
Type 2,2020-02-15 19:59:27,,2020-02-15 20:00:03,2020-02-15 20:01:30
Type 2,2020-02-15 19:57:02,,2020-02-15 19:57:58,2020-02-15 20:01:37
Type 2,2020-02-15 19:56:08,,2020-02-15 19:56:40,2020-02-15 20:01:38
Type 2,2020-02-15 19:57:03,,2020-02-15 19:58:12,2020-02-15 20:01:42
Type 1,2020-02-15 19:58:24,,2020-02-15 19:59:48,2020-02-15 20:01:42
Type 2,2020-02-15 19:58:22,,2020-02-15 19:59:45,2020-02-15 20:01:57
Type 1,2020-02-15 19:59:45,,2020-02-15 20:00:30,2020-02-15 20:02:11
Type 2,2020-02-15 19:57:19,,2020-02-15 19:59:06,2020-02-15 20:02:12
Type 2,2020-02-15 19:58:08,,2020-02-15 19:59:34,2020-02-15 20:02:15
Type 2,2020-02-15 20:01:24,,2020-02-15 20:01:24,2020-02-15 20:02:29
Type 1,2020-02-15 19:59:47,,2020-02-15 20:00:39,2020-02-15 20:02:31
Type 2,2020-02-15 19:59:02,,2020-02-15 19:59:56,2020-02-15 20:02:34
Type 1,2020-02-15 20:00:38,,2020-02-15 20:01:10,2020-02-15 20:02:49
Type 1,2020-02-15 20:01:39,,2020-02-15 20:01:39,2020-02-15 20:02:53
Type 2,2020-02-15 20:00:36,,2020-02-15 20:01:03,2020-02-15 20:03:11
Type 1,2020-02-15 19:59:36,,2020-02-15 20:00:03,2020-02-15 20:03:29
Type 1,2020-02-15 20:01:44,,2020-02-15 20:01:44,2020-02-15 20:03:30
Type 1,2020-02-15 20:02:09,,2020-02-15 20:02:15,2020-02-15 20:03:32
Type 2,2020-02-15 20:01:25,,2020-02-15 20:01:25,2020-02-15 20:03:48
Type 2,2020-02-15 20:01:41,,2020-02-15 20:01:42,2020-02-15 20:03:48
Type 2,2020-02-15 20:01:48,,2020-02-15 20:01:57,2020-02-15 20:03:56
Type 2,2020-02-15 19:58:53,,2020-02-15 19:59:55,2020-02-15 20:03:57
Type 1,2020-02-15 20:01:50,,2020-02-15 20:02:11,2020-02-15 20:04:03
Type 1,2020-02-15 20:02:45,,2020-02-15 20:02:45,2020-02-15 20:04:03
Type 2,2020-02-15 20:00:19,,2020-02-15 20:00:41,2020-02-15 20:04:11
Type 1,2020-02-15 20:02:35,,2020-02-15 20:02:35,2020-02-15 20:04:13
Type 2,2020-02-15 20:00:00,,2020-02-15 20:00:40,2020-02-15 20:04:30
Type 2,2020-02-15 20:03:13,,2020-02-15 20:03:13,2020-02-15 20:04:41
Type 1,2020-02-15 20:03:11,,2020-02-15 20:03:11,2020-02-15 20:04:44
Type 2,2020-02-15 20:01:32,,2020-02-15 20:01:37,2020-02-15 20:04:47
Type 1,2020-02-15 20:03:30,,2020-02-15 20:03:48,2020-02-15 20:04:53
Type 2,2020-02-15 20:01:56,,2020-02-15 20:02:12,2020-02-15 20:04:54
Type 1,2020-02-15 20:00:51,,2020-02-15 20:01:11,2020-02-15 20:04:58
Type 1,2020-02-15 20:03:15,,2020-02-15 20:03:15,2020-02-15 20:05:00
Type 1,2020-02-15 20:01:29,,2020-02-15 20:01:30,2020-02-15 20:05:07
Type 1,2020-02-15 20:03:30,,2020-02-15 20:03:32,2020-02-15 20:05:25
Type 1,2020-02-15 20:03:22,,2020-02-15 20:03:30,2020-02-15 20:05:27
Type 1,2020-02-15 20:04:01,,2020-02-15 20:04:01,2020-02-15 20:05:41
Type 1,2020-02-15 20:03:17,,2020-02-15 20:03:29,2020-02-15 20:05:59
Type 2,2020-02-15 20:04:41,,2020-02-15 20:04:41,2020-02-15 20:05:59
Type 1,2020-02-15 20:04:34,,2020-02-15 20:04:34,2020-02-15 20:06:25
Type 1,2020-02-15 20:04:42,,2020-02-15 20:04:42,2020-02-15 20:06:29
Type 2,2020-02-15 20:05:29,,2020-02-15 20:05:29,2020-02-15 20:06:44
Type 1,2020-02-15 20:05:11,,2020-02-15 20:05:11,2020-02-15 20:06:52
Type 2,2020-02-15 20:04:20,,2020-02-15 20:04:20,2020-02-15 20:06:54
Type 1,2020-02-15 20:05:08,,2020-02-15 20:05:08,2020-02-15 20:06:57
Type 1,2020-02-15 20:05:37,,2020-02-15 20:05:37,2020-02-15 20:07:02
Type 1,2020-02-15 20:05:12,,2020-02-15 20:05:12,2020-02-15 20:07:09
Type 1,2020-02-15 20:02:23,,2020-02-15 20:02:29,2020-02-15 20:07:15
Type 1,2020-02-15 20:05:56,,2020-02-15 20:05:56,2020-02-15 20:07:18
Type 2,2020-02-15 20:05:42,,2020-02-15 20:05:42,2020-02-15 20:07:26
Type 2,2020-02-15 20:03:59,,2020-02-15 20:03:59,2020-02-15 20:07:43
Type 1,2020-02-15 20:05:52,,2020-02-15 20:05:52,2020-02-15 20:07:44
Type 1,2020-02-15 20:06:30,,2020-02-15 20:06:54,2020-02-15 20:07:45
Type 1,2020-02-15 20:06:16,,2020-02-15 20:06:25,2020-02-15 20:07:46
Type 1,2020-02-15 20:07:41,2020-02-15 20:07:48,,
Type 2,2020-02-15 20:06:15,,2020-02-15 20:06:15,2020-02-15 20:07:56
Type 2,2020-02-15 20:06:03,,2020-02-15 20:06:03,2020-02-15 20:07:59
Type 1,2020-02-15 20:06:08,,2020-02-15 20:06:08,2020-02-15 20:08:01
Type 1,2020-02-15 20:06:12,,2020-02-15 20:06:12,2020-02-15 20:08:07
Type 1,2020-02-15 20:06:57,,2020-02-15 20:07:18,2020-02-15 20:08:15
Type 2,2020-02-15 20:04:47,,2020-02-15 20:04:47,2020-02-15 20:08:16
Type 2,2020-02-15 20:05:45,,2020-02-15 20:05:45,2020-02-15 20:08:19
Type 1,2020-02-15 20:08:11,2020-02-15 20:08:22,,
Type 1,2020-02-15 20:06:25,,2020-02-15 20:06:52,2020-02-15 20:08:28
Type 2,2020-02-15 20:08:30,2020-02-15 20:08:52,,
Type 2,2020-02-15 20:08:22,2020-02-15 20:08:57,,
Type 1,2020-02-15 20:08:41,2020-02-15 20:08:59,,
Type 2,2020-02-15 20:08:24,2020-02-15 20:09:02,,
Type 1,2020-02-15 20:08:36,2020-02-15 20:09:06,,
Type 2,2020-02-15 20:04:19,,2020-02-15 20:04:19,2020-02-15 20:09:11
Type 2,2020-02-15 20:08:58,2020-02-15 20:09:17,,
Type 2,2020-02-15 20:08:42,2020-02-15 20:09:20,,
Type 1,2020-02-15 20:09:00,2020-02-15 20:09:21,,
Type 2,2020-02-15 20:07:35,,2020-02-15 20:07:59,2020-02-15 20:09:24
Type 1,2020-02-15 20:09:04,2020-02-15 20:09:27,,
Type 2,2020-02-15 20:07:01,,2020-02-15 20:07:26,2020-02-15 20:09:29
Type 2,2020-02-15 20:09:39,2020-02-15 20:09:42,,
Type 2,2020-02-15 20:06:17,,2020-02-15 20:06:29,2020-02-15 20:09:50
Type 1,2020-02-15 20:09:34,2020-02-15 20:09:51,,
Type 2,2020-02-15 20:08:48,2020-02-15 20:09:57,,
Type 1,2020-02-15 20:07:21,,2020-02-15 20:07:45,2020-02-15 20:09:59
Type 1,2020-02-15 20:08:06,,2020-02-15 20:08:28,2020-02-15 20:10:04
Type 1,2020-02-15 20:07:02,,2020-02-15 20:07:43,2020-02-15 20:10:05
Type 2,2020-02-15 20:09:27,2020-02-15 20:10:12,,
Type 2,2020-02-15 20:06:39,,2020-02-15 20:07:09,2020-02-15 20:10:12
Type 1,2020-02-15 20:06:52,,2020-02-15 20:07:15,2020-02-15 20:10:17
Type 1,2020-02-15 20:07:49,,2020-02-15 20:08:01,2020-02-15 20:10:19
Type 1,2020-02-15 20:07:52,,2020-02-15 20:08:16,2020-02-15 20:10:24
Type 2,2020-02-15 20:08:38,,2020-02-15 20:09:29,2020-02-15 20:10:26
Type 1,2020-02-15 20:10:26,2020-02-15 20:10:30,,
Type 1,2020-02-15 20:08:54,,2020-02-15 20:09:59,2020-02-15 20:11:05
Type 1,2020-02-15 20:06:23,,2020-02-15 20:06:44,2020-02-15 20:11:06
Type 2,2020-02-15 20:10:36,2020-02-15 20:11:07,,
Type 2,2020-02-15 20:06:39,,2020-02-15 20:07:02,2020-02-15 20:11:09
Type 1,2020-02-15 20:08:08,,2020-02-15 20:09:11,2020-02-15 20:11:10
Type 2,2020-02-15 20:06:30,,2020-02-15 20:06:57,2020-02-15 20:11:14
Type 2,2020-02-15 20:07:31,,2020-02-15 20:07:46,2020-02-15 20:11:19
Type 1,2020-02-15 20:08:47,,2020-02-15 20:09:50,2020-02-15 20:11:20
Type 1,2020-02-15 20:07:35,,2020-02-15 20:07:56,2020-02-15 20:11:20
Type 2,2020-02-15 20:07:50,,2020-02-15 20:08:15,2020-02-15 20:11:26
Type 1,2020-02-15 20:09:10,,2020-02-15 20:10:04,2020-02-15 20:11:35
Type 1,2020-02-15 20:09:14,,2020-02-15 20:10:05,2020-02-15 20:11:37
Type 2,2020-02-15 20:07:13,,2020-02-15 20:07:44,2020-02-15 20:11:48
Type 2,2020-02-15 20:07:49,,2020-02-15 20:08:07,2020-02-15 20:12:06
Type 1,2020-02-15 20:10:00,,2020-02-15 20:11:05,2020-02-15 20:12:12
Type 1,2020-02-15 20:09:41,,2020-02-15 20:10:19,2020-02-15 20:12:18
Type 2,2020-02-15 20:09:41,,2020-02-15 20:10:24,2020-02-15 20:12:35
Type 1,2020-02-15 20:10:54,,2020-02-15 20:11:10,2020-02-15 20:12:40
Type 2,2020-02-15 20:11:23,,2020-02-15 20:11:23,2020-02-15 20:12:48
Type 2,2020-02-15 20:07:59,,2020-02-15 20:08:19,2020-02-15 20:12:49
Type 1,2020-02-15 20:12:36,2020-02-15 20:12:51,,
Type 1,2020-02-15 20:12:21,2020-02-15 20:13:01,,
Type 1,2020-02-15 20:09:23,,2020-02-15 20:10:17,2020-02-15 20:13:10
Type 2,2020-02-15 20:10:43,,2020-02-15 20:11:09,2020-02-15 20:13:22
Type 1,2020-02-15 20:11:41,,2020-02-15 20:11:41,2020-02-15 20:13:26
Type 1,2020-02-15 20:10:09,,2020-02-15 20:11:06,2020-02-15 20:13:28
Type 1,2020-02-15 20:11:16,,2020-02-15 20:11:19,2020-02-15 20:13:29
Type 1,2020-02-15 20:11:25,,2020-02-15 20:11:26,2020-02-15 20:13:29
Type 1,2020-02-15 20:11:38,,2020-02-15 20:11:38,2020-02-15 20:13:37
Type 1,2020-02-15 20:12:09,,2020-02-15 20:12:18,2020-02-15 20:13:40
Type 2,2020-02-15 20:09:15,,2020-02-15 20:10:12,2020-02-15 20:13:47
Type 2,2020-02-15 20:13:45,2020-02-15 20:13:52,,
Type 1,2020-02-15 20:09:46,,2020-02-15 20:10:26,2020-02-15 20:13:52
Type 1,2020-02-15 20:08:29,,2020-02-15 20:09:24,2020-02-15 20:14:06
Type 1,2020-02-15 20:12:11,,2020-02-15 20:12:35,2020-02-15 20:14:09
Type 1,2020-02-15 20:14:07,2020-02-15 20:14:16,,
Type 2,2020-02-15 20:11:17,,2020-02-15 20:11:20,2020-02-15 20:14:22
Type 1,2020-02-15 20:12:18,,2020-02-15 20:12:49,2020-02-15 20:14:24
Type 1,2020-02-15 20:13:05,,2020-02-15 20:13:29,2020-02-15 20:14:26
Type 2,2020-02-15 20:12:18,,2020-02-15 20:12:48,2020-02-15 20:14:36
Type 2,2020-02-15 20:12:21,,2020-02-15 20:13:10,2020-02-15 20:14:52
Type 2,2020-02-15 20:11:15,,2020-02-15 20:11:15,2020-02-15 20:14:56
Type 1,2020-02-15 20:12:39,,2020-02-15 20:13:26,2020-02-15 20:15:02
Type 1,2020-02-15 20:13:13,,2020-02-15 20:13:29,2020-02-15 20:15:12
Type 2,2020-02-15 20:13:42,,2020-02-15 20:13:52,2020-02-15 20:15:17
Type 2,2020-02-15 20:12:12,,2020-02-15 20:12:40,2020-02-15 20:15:22
Type 1,2020-02-15 20:15:18,2020-02-15 20:15:26,,
Type 1,2020-02-15 20:15:15,2020-02-15 20:15:26,,
Type 1,2020-02-15 20:14:11,,2020-02-15 20:14:26,2020-02-15 20:15:27
Type 1,2020-02-15 20:13:25,,2020-02-15 20:13:37,2020-02-15 20:15:27
Type 2,2020-02-15 20:12:07,,2020-02-15 20:12:12,2020-02-15 20:15:29
Type 1,2020-02-15 20:13:57,,2020-02-15 20:14:09,2020-02-15 20:15:37
Type 1,2020-02-15 20:13:31,,2020-02-15 20:13:47,2020-02-15 20:15:39
Type 2,2020-02-15 20:15:50,2020-02-15 20:15:52,,
Type 2,2020-02-15 20:11:57,,2020-02-15 20:12:06,2020-02-15 20:16:02
Type 2,2020-02-15 20:13:29,,2020-02-15 20:13:40,2020-02-15 20:16:04
Type 1,2020-02-15 20:14:01,,2020-02-15 20:14:24,2020-02-15 20:16:05
Type 1,2020-02-15 20:14:55,,2020-02-15 20:15:02,2020-02-15 20:16:11
Type 1,2020-02-15 20:15:00,,2020-02-15 20:15:12,2020-02-15 20:16:24
Type 2,2020-02-15 20:14:48,,2020-02-15 20:14:52,2020-02-15 20:16:27
Type 1,2020-02-15 20:12:45,,2020-02-15 20:13:28,2020-02-15 20:16:32
Type 2,2020-02-15 20:11:45,,2020-02-15 20:11:48,2020-02-15 20:16:37
Type 1,2020-02-15 20:16:27,2020-02-15 20:16:44,,
Type 1,2020-02-15 20:15:34,,2020-02-15 20:15:39,2020-02-15 20:16:57
Type 2,2020-02-15 20:16:56,2020-02-15 20:17:05,,
Type 1,2020-02-15 20:15:28,,2020-02-15 20:15:37,2020-02-15 20:17:12
Type 1,2020-02-15 20:15:24,,2020-02-15 20:15:29,2020-02-15 20:17:18
Type 1,2020-02-15 20:14:52,,2020-02-15 20:14:56,2020-02-15 20:17:21
Type 2,2020-02-15 20:15:05,,2020-02-15 20:15:17,2020-02-15 20:17:27
Type 1,2020-02-15 20:13:48,,2020-02-15 20:14:06,2020-02-15 20:17:30
Type 2,2020-02-15 20:14:01,,2020-02-15 20:14:22,2020-02-15 20:17:36
Type 1,2020-02-15 20:17:25,2020-02-15 20:17:36,,
Type 2,2020-02-15 20:12:35,,2020-02-15 20:13:22,2020-02-15 20:17:48
Type 1,2020-02-15 20:14:19,,2020-02-15 20:14:36,2020-02-15 20:17:59
Type 2,2020-02-15 20:15:19,,2020-02-15 20:15:27,2020-02-15 20:17:59
Type 2,2020-02-15 20:16:13,,2020-02-15 20:16:27,2020-02-15 20:18:02
Type 2,2020-02-15 20:15:50,,2020-02-15 20:16:11,2020-02-15 20:18:15
Type 2,2020-02-15 20:18:02,2020-02-15 20:18:20,,
Type 1,2020-02-15 20:16:46,,2020-02-15 20:16:57,2020-02-15 20:18:30
Type 2,2020-02-15 20:16:16,,2020-02-15 20:16:32,2020-02-15 20:18:39
Type 1,2020-02-15 20:18:38,2020-02-15 20:18:42,,
Type 2,2020-02-15 20:15:16,,2020-02-15 20:15:27,2020-02-15 20:18:49
Type 1,2020-02-15 20:16:57,,2020-02-15 20:17:12,2020-02-15 20:18:59
Type 1,2020-02-15 20:18:57,2020-02-15 20:19:01,,
Type 1,2020-02-15 20:18:59,2020-02-15 20:19:08,,
Type 2,2020-02-15 20:17:19,,2020-02-15 20:17:30,2020-02-15 20:19:08
Type 2,2020-02-15 20:15:08,,2020-02-15 20:15:22,2020-02-15 20:19:10
Type 2,2020-02-15 20:17:08,,2020-02-15 20:17:27,2020-02-15 20:19:19
Type 1,2020-02-15 20:16:58,,2020-02-15 20:17:18,2020-02-15 20:19:20
Type 2,2020-02-15 20:16:04,,2020-02-15 20:16:24,2020-02-15 20:19:25
Type 2,2020-02-15 20:15:39,,2020-02-15 20:16:02,2020-02-15 20:19:28
Type 1,2020-02-15 20:17:20,,2020-02-15 20:17:36,2020-02-15 20:19:29
Type 2,2020-02-15 20:15:45,,2020-02-15 20:16:04,2020-02-15 20:19:30
Type 2,2020-02-15 20:17:23,,2020-02-15 20:17:59,2020-02-15 20:19:36
Type 2,2020-02-15 20:17:33,,2020-02-15 20:18:02,2020-02-15 20:19:40
Type 1,2020-02-15 20:17:25,,2020-02-15 20:17:59,2020-02-15 20:19:42
